Item Key,Assessment Key,Session,Session Sort,Type,Assessment Number,Item Number,PDF Question ID,CSV Question ID,ID Match,Correct Answer,Max Points,PDF Difficulty,Point-Biserial,Student N,Observed Facility,Observed-PDF Delta,Discrimination Flag,Difficulty Band,Review Priority,Stem / Scenario,Options / Response Set,Rationale,All Categories,Bloom,BSN Essential,Clinical Judgment,Concept,NCLEX Client Need,Nursing Process,QSEN,Question Type,Sphere of Care,Mental Health Topic,Source PDF
2026-01-Q1-Q11,2026-01-Q1,Jan 2026,2026-01,Quiz,1,11,12812,12812,Match,C,1,0.68,0.14,14,0.5714285714285714,-0.10857142857142865,Low,Moderate,Review,A nurse is planning care for a group of clients. The nurse understands that which client is at greatest risk for injury with the use of restraints?,A. A client with obsessive compulsive disorder mopping the floors B. A client with an eating disorder who is selecting food choices C. A client recovering from a heroin overdose D. A client with a personality disorder that is trying to manipulate the staff,"Answer Rationale: Recovering from a drug overdose, having severe suicidal tendencies, having dementia, and not being able to tolerate decreased stimulation are all conditions that are contraindications to using restraints due to the risk of injury. A client recovering from a heroin overdose is at greater risk of injury from the application of restraints. The nurse should schedule specific times for the client to mop the floors but should gradually decrease the amount of time the client spends with this activity. However, If the client presents a threat to himself or others and the nurse has tried all less restrictive interventions, the nurse may apply restraints to this client. The nurse should establish a therapeutic relationship with a client who has an eating disorder. However, if the client presents a threat to himself or others and the nurse has tried all less restrictive interventions, the nurse may apply restraints to this client. The nurse should set limits and explain what specific behaviors are expected from the client. If the client presents a threat to self or others and the nurse has tried all less restrictive interventions, the nurse can apply restraints to this client.","PreL Bloom's Taxonomy, PreL Apply.Analyze, PreL BSN Essentials, PreL Domain 5: Quality and Safety, PreL Concepts, PreL Safety, PreL Courses, NR326 Mental Health Nursing, NR446 Collaborative Healthcare, PreL NCLEX Client Needs Category, PreL Safety and Infection Control (SIC), PreL Nursing Process, PreL Analysis.Diagnosis, PreL QSEN, PreL QSEN Safety, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Apply.Analyze,PreL Domain 5: Quality and Safety,,PreL Safety,PreL Safety and Infection Control (SIC),PreL Analysis.Diagnosis,PreL QSEN Safety,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q12,2026-01-Q1,Jan 2026,2026-01,Quiz,1,12,10833,10833,Match,A,1,0.93,0.17,14,1,0.06999999999999995,Low,Very easy,Review,A nurse is caring for a client with an eating disorder. The client refuses to drink a protein supplement between meals and the nurse does not attempt to change the client's mind. The nurse is recognizing which of the following ethical concepts?,A. Autonomy B. Beneficence C. Veracity D. Fidelity,Answer Rationale: Autonomy respects the rights of clients to refuse medication or treatment. Beneficence refers to actions that promote the well-being of others. Veracity refers to the ethical principle of being truthful with clients. Fidelity refers to the ethical principle of doing no wrong to clients.,"PreL Bloom's Taxonomy, PreL Remember.Understand, PreL BSN Essentials, PreL Domain 1: Knowledge for Nursing Practice, PreL Concepts, PreL Ethics, PreL Courses, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL Nursing Process, PreL Implementation.Intervention, PreL QSEN, PreL QSEN Patient-Centered Care, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Chronic Disease Management",PreL Remember.Understand,PreL Domain 1: Knowledge for Nursing Practice,,PreL Ethics,PreL Psychosocial Integrity (PI),PreL Implementation.Intervention,PreL QSEN Patient-Centered Care,PreL Multiple Choice (Traditional and Extended),PreL Chronic Disease Management,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q13,2026-01-Q1,Jan 2026,2026-01,Quiz,1,13,11133,11133,Match,C,1,0.79,0.28,14,0.8571428571428571,0.06714285714285706,Acceptable,Moderate,OK,"A nurse working in a mental health clinic is caring for an adolescent client that has a history of violent behavior. The client confides in the nurse telling them that the information is just between the two of them then states, ""I want to kill several classmates and one of my teachers."" Which statement by the nurse is most appropriate at this time?","A. ""I am glad that you trust me, but I need you to share those feelings with your psychiatrist."" B. ""You can trust me, I will keep this health information confidential between us."" C. ""I cannot promise that I can always keep information between just you and me. I have to share this information with the rest of your health care team."" D. ""Since you are not an adult, I have to share information that I feel is important with your parents.""","Answer Rationale: The nurse should report issues that are potentially life-threatening to the treatment team. Although trust is the hallmark of the nurse-client relationship, confidentiality does not extend to these situations. ""I am glad that you trust me, but I need you to share those feelings with your psychiatrist."" is not correct because this response by the nurse is nontherapeutic and it shifts the responsibility for this information back to the client. The nurse should not promise to keep all client information confidential, because certain situations require the nurse to disclose information. Although the nurse must follow guidelines for reporting information to the parents of a minor client, team members must also be notified when the desire to harm oneself or others is disclosed.","PreL Bloom's Taxonomy, PreL Apply.Analyze, PreL BSN Essentials, PreL Domain 5: Quality and Safety, PreL Concepts, PreL Health Care Law, PreL Courses, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Management of Care (MC), PreL Nursing Process, PreL Implementation.Intervention, PreL QSEN, PreL QSEN Safety, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Apply.Analyze,PreL Domain 5: Quality and Safety,,PreL Health Care Law,PreL Management of Care (MC),PreL Implementation.Intervention,PreL QSEN Safety,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q14,2026-01-Q1,Jan 2026,2026-01,Quiz,1,14,20639,20639,Match,C,1,0.93,0.13,14,0.7142857142857143,-0.21571428571428575,Low,Very easy,Review,A client tells the nurse that they have been very unsteady and have had difficulty in maintaining their balance. Which area of the brain most concerns the nurse?,A. Thalamus B. Brainstem C. Cerebellum D. Extrapyramidal,"Rationale: Cerebellum controls motor coordination of voluntary movements and equilibrium. Thalamus is the relay station for sensory pathways. Brainstem controls basic functions such as breathing, GI function. Extrapyramidal are tracts for motor nerve fibers.","PreL Bloom's Taxonomy, PreL Remember.Understand, PreL BSN Essentials, PreL Domain 1: Knowledge for Nursing Practice, PreL Concepts, PreL Intracranial Regulation, PreL Courses, NR302.304.306 Health Assessment, PreL NCLEX Client Needs Category, PreL Health Promotion and Maintenance (HPM), PreL Nursing Process, PreL Analysis.Diagnosis, PreL QSEN, PreL QSEN Evidence Based Practice, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Remember.Understand,PreL Domain 1: Knowledge for Nursing Practice,,PreL Intracranial Regulation,PreL Health Promotion and Maintenance (HPM),PreL Analysis.Diagnosis,PreL QSEN Evidence Based Practice,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q15,2026-01-Q1,Jan 2026,2026-01,Quiz,1,15,28168,28168,Match,C,1,0.96,0.12,14,1,0.040000000000000036,Low,Very easy,Review,A client's family is expressing concern for a cancer diagnosis for their family member. Which statement by the nurse is an example of a therapeutic communication technique?,"A. ""Don't worry, everything will be alright."" B. ""No one here would intentionally lie to you about the diagnosis."" C. ""It must be very scary receiving this type of diagnosis for your family member."" D. ""Things are bad and there's really nothing we can do about it.""",,"PreL Bloom's Taxonomy, PreL Remember.Understand, PreL BSN Essentials, PreL Domain 2: Person-Centered Care, PreL Concepts, PreL Communication, PreL Courses, NR222 Health and Wellness, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL Nursing Process, PreL Evaluation, PreL QSEN, PreL QSEN Patient-Centered Care, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Remember.Understand,PreL Domain 2: Person-Centered Care,,PreL Communication,PreL Psychosocial Integrity (PI),PreL Evaluation,PreL QSEN Patient-Centered Care,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q16,2026-01-Q1,Jan 2026,2026-01,Quiz,1,16,11049,11049,Match,D,1,0.94,0.12,14,1,0.06000000000000005,Low,Very easy,Review,"Which therapeutic communication technique is the nurse using in this nurse-client interaction? Client: “When I get angry, I get into a fistfight with my wife, or I take it out on the kids.” Nurse: “I notice that you are smiling as you talk about this physical violence.”",A. Reflection B. Exploring C. Formulating a plan of action D. Making observations,The nurse is using the therapeutic communication technique of making observations when noting that the client smiles when talking about physical violence. The technique of making observations encourages the client to compare personal perceptions with those of the nurse. Reflection is not being used because a feeling is not being identified. Exploring is not correct as you would ask the client to explain more about their anger. Formulating a plan of action is not used because this would include developing the next steps to control the client’s anger.,"PreL Bloom's Taxonomy, PreL Remember.Understand, PreL BSN Essentials, PreL Domain 2: Person-Centered Care, PreL Concepts, PreL Communication, PreL Courses, NR222 Health and Wellness, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL QSEN, PreL QSEN Patient-Centered Care, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Remember.Understand,PreL Domain 2: Person-Centered Care,,PreL Communication,PreL Psychosocial Integrity (PI),,PreL QSEN Patient-Centered Care,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q17,2026-01-Q1,Jan 2026,2026-01,Quiz,1,17,37307,37307,Match,B,1,0.84,0.11,14,0.8571428571428571,0.017142857142857126,Low,Moderate,Review,"When assessing a client who has a right frontal lobe tumor, what finding should the nurse expect?",A. Expressive aphasia B. Impaired judgment C. Right-sided weakness D. Difficulty swallowing,The frontal lobe controls intellectual activities such as judgment. Speech is controlled in the parietal lobe. Weakness and hemiplegia occur on the contralateral side from the tumor. Swallowing is controlled by the brainstem.,"PreL BSN Essentials, PreL Domain 1: Knowledge for Nursing Practice, PreL Concepts, PreL Cognition, PreL Courses, PreL Adult Health, PreL NCLEX Client Needs Category, PreL Physiological Adaptation (PA), PreL Nursing Process, PreL Analysis.Diagnosis, PreL QSEN, PreL QSEN Evidence Based Practice, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Regenerative.Restorative Care",,PreL Domain 1: Knowledge for Nursing Practice,,PreL Cognition,PreL Physiological Adaptation (PA),PreL Analysis.Diagnosis,PreL QSEN Evidence Based Practice,PreL Multiple Choice (Traditional and Extended),PreL Regenerative.Restorative Care,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q18,2026-01-Q1,Jan 2026,2026-01,Quiz,1,18,11052,11052,Match,B,1,0.92,0.18,14,1,0.07999999999999996,Low,Very easy,Review,A client with paranoid schizophrenia believes that evil spirits are being stirred by a local minister and verbally threatens to bomb a local church. The psychiatrist notifies the minister and the police. Which statement best describes the psychiatrist's actions?,A. Release of information without proper authorization B. Demonstration of the duty to warn and protect C. Violation of the client’s confidentiality D. Avoidance in charges of malpractice,"When a client is threatening harm to others with a plan, the legal and ethical duty according to the mental health law is a duty to warn. In this case, the psychiatrist has to warn the minister and the police. With the duty to warn, safety information can be released without proper authorization; therefore, no patient confidentiality is violated. Malpractice is not related to this question.","PreL Bloom's Taxonomy, PreL Apply.Analyze, PreL BSN Essentials, PreL Domain 9: Professionalism, PreL Concepts, PreL Health Care Law, PreL Courses, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL Nursing Process, PreL Evaluation, PreL QSEN, PreL QSEN Teamwork and Collaboration, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Apply.Analyze,PreL Domain 9: Professionalism,,PreL Health Care Law,PreL Psychosocial Integrity (PI),PreL Evaluation,PreL QSEN Teamwork and Collaboration,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q19,2026-01-Q1,Jan 2026,2026-01,Quiz,1,19,12479,12479,Match,"B,D,E",1,0.51,0.15,14,1,0.49,Low,Difficult,Review,A nurse is performing a mental status examination on a client with a new diagnosis of dementia. Which component(s) should the nurse include? Select all that apply.,A. Presence of pain B. Affect C. Support system D. Long-term memory E. Grooming,"Answer Rationale: Grooming is included in a mental status exam (MSE) which consists of appearance, behavior, speech, mood, disorders of the form of thought, perceptual disturbances, cognition, and ideas of harming self or others. Long-term memory is included in an MSE which consists of appearance, behavior, speech, and mood, disorders of the form of thought, perceptual disturbances, cognition, and ideas of harming self or others. Affect is included in an MSE which consists of appearance, behavior, speech, and mood, disorders of the form of thought, perceptual disturbances, cognition, and ideas of harming self or others. The presence of pain is not included in an MSE which consists of appearance, behavior, speech, mood, disorders of the form of thought, perceptual disturbances, cognition, and ideas of harming self or others. Support systems are not included in an MSE which consists of appearance, behavior, speech, mood, disorders of the form of thought, perceptual disturbances, cognition, and ideas of harming self or others.","PreL Bloom's Taxonomy, PreL Remember.Understand, PreL BSN Essentials, PreL Domain 2: Person-Centered Care, PreL Concepts, PreL Cognition, PreL Courses, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL Nursing Process, PreL Assessment, PreL QSEN, PreL QSEN Evidence Based Practice, PreL Question Types, PreL Select All That Apply (Traditional and NGN), PreL Spheres of Care, PreL Chronic Disease Management",PreL Remember.Understand,PreL Domain 2: Person-Centered Care,,PreL Cognition,PreL Psychosocial Integrity (PI),PreL Assessment,PreL QSEN Evidence Based Practice,PreL Select All That Apply (Traditional and NGN),PreL Chronic Disease Management,,N326 Quiz 1 January 2026.pdf
2026-01-Q1-Q20,2026-01-Q1,Jan 2026,2026-01,Quiz,1,20,23882,23882,Match,C,1,0.9,0.17,14,1,0.09999999999999998,Low,Very easy,Review,The following clients are seen in the emergency department. The psychiatric unit has one remaining bed. Which client should the triage nurse expect to be admitted?,"A. The client who is experiencing tremors and has a need for medication adjustment. B. The client who is experiencing anxiety and a sad mood after separation from spouse. C. The client who is a single parent and hears voices stating, “Kill your infant.” D. The client who argued with her partner and inflicted a superficial cut on her arm.","Feedback 1. This is incorrect. Safety of self and others is always a priority. This client is not demonstrating a life-threatening situation or risk to self or others. 2. This is incorrect. Safety of self and others is always a priority. Anxiety and a sad mood after separating from a spouse is an expected reaction to the situation. The client is not demonstrating a risk to self or others. 3. This is correct. The nurse’s assessment indicates this client is at the greatest risk due to stating an intent to “kill her infant.” Safety of self and others is always a priority. In the assessment phase of the nursing process, the nurse collects comprehensive health data that are pertinent to the client’s health or situation. 4. This is incorrect. Safety of self and others is always a priority. The assessment does not demonstrate the client is a risk to self or others and therefore does not need to be admitted for care.","PreL Bloom's Taxonomy, PreL Apply.Analyze, PreL BSN Essentials, PreL Domain 1: Knowledge for Nursing Practice, PreL Concepts, PreL Clinical Judgment, PreL Courses, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL Nursing Process, PreL Evaluation, PreL QSEN, PreL QSEN Evidence Based Practice, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Regenerative.Restorative Care",PreL Apply.Analyze,PreL Domain 1: Knowledge for Nursing Practice,,,PreL Psychosocial Integrity (PI),PreL Evaluation,PreL QSEN Evidence Based Practice,PreL Multiple Choice (Traditional and Extended),PreL Regenerative.Restorative Care,,N326 Quiz 1 January 2026.pdf
2026-01-Q2-Q01,2026-01-Q2,Jan 2026,2026-01,Quiz,2,1,13565,13565,Match,D,1.33,0.88,0.27,14,1,0.12,Acceptable,Moderate,OK,A nurse is working with a client who is on a cognitive behavioral treatment plan. The nurse knows that the purpose of this approach is for which reason?,A. To provide a supportive environment. B. To examine intrapsychic conflicts and past issues. C. To emphasize social interaction with clients who withdraw. D. To help the client to examine dysfunctional thoughts and beliefs.,Answer Rationale: Cognitive behavioral therapy is used to help identify and examine dysfunctional thoughts. Providing a supportive environment is not a focus of cognitive behavioral therapy. Examining intrapsychic conflicts and past issues is not a focus of cognitive behavioral therapy. Emphasizing social interaction with clients who withdraw is not a focus of cognitive behavioral therapy.,"PreL Bloom's Taxonomy, PreL Remember.Understand, PreL BSN Essentials, PreL Domain 2: Person-Centered Care, PreL Concepts, PreL Mood and Affect, PreL Courses, NR326 Mental Health Nursing, PreL NCLEX Client Needs Category, PreL Psychosocial Integrity (PI), PreL Nursing Process, PreL Analysis.Diagnosis, PreL QSEN, PreL QSEN Patient-Centered Care, PreL Question Types, PreL Multiple Choice (Traditional and Extended), PreL Spheres of Care, PreL Wellness.Disease Prevention",PreL Remember.Understand,PreL Domain 2: Person-Centered Care,,PreL Mood and Affect,PreL Psychosocial Integrity (PI),PreL Analysis.Diagnosis,PreL QSEN Patient-Centered Care,PreL Multiple Choice (Traditional and Extended),PreL Wellness.Disease Prevention,,N326 Quiz 2 January 2026.pdf
