"Stage","Content Group","Administrations","Sessions","Facility Minimum","Facility Maximum","Facility Range","Mean Local Item-Rest Correlation","Item Keys","Stem / Scenario"
"Exam 2 relevant content","Suicide/safety",2,"Jan 2026; Mar 2026",0.714285714285714,0.789473684210526,0.075187969924812,-0.14055591307642,"2026-01-E2-Q03; 2026-03-E2-Q03","Client Profile Nurse's Note Vital Signs Name: Peter Sherman Provider: P. Mayo, MD Code Status: Full Code Allergies: None known Age: 44 years Weight: 82.3 kg (181.4 lbs) Client Profile Nurse's Note Vital Signs Date/Time Nurse's Notes History of Present Illness: Client presents to the emergency department with increased anxiety and frequent flashbacks over the past two weeks following the loss of a close friend. Appears disheveled, anxious, and easily startled. Client reports difficulty sleeping, with frequent nightmares that cause him to wake up in a panic. Additionally, the client mentions that these symptoms have led to a strained 03/17/XX relationship with their wife, due to the client’s irritability and isolation. The client states, ""My wife is 1020 supportive, but she would probably be better off if I wasn't around."" Past Medical History: Diagnosed with post-traumatic stress disorder (PTSD) 5 years ago. History of depression and anxiety. No history of self-harm or substance abuse. Suicide risk assessment completed. Client states, ""I once thought it might be better if I went to bed 3/17/XX and did not wake up, but I would never kill myself. I couldn’t do that to my family, plus I know God 1045 does not want me to do that.” No history of suicide attempts and client states, “I have been down before, but I have always gotten better.” Client Profile Nurse's Note Vital Signs 03/17/XX 1015 Blood pressure 138/90 Heart rate 98 Respiratory rate 20 Temperature 97.8 F (36.6 C) Pulse oximetry 97% on room air Pain 7/10 ""headache"" Review the electronic health record. What conclusion should the nurse make regarding the client's suicide risk?"
"Quiz 3","Suicide/safety",2,"Jan 2026; May 2026",0.928571428571429,1,0.0714285714285714,-0.211447428397996,"2026-01-Q3-Q02; 2026-05-Q3-Q02","A nurse in a pediatric unit is working with an adolescent client with a history of depression. Which assessment finding indicates the client may be suicidal?"
"Quiz 3","Suicide/safety",2,"Mar 2026; May 2026",0.842105263157895,0.9,0.0578947368421052,-0.282058258585761,"2026-03-Q3-Q04; 2026-05-Q3-Q11","A nurse is caring for a client threatening to commit suicide by hanging. The client states, “I’m going to use a knotted shower curtain when no one is around.” Which factor will guide the nurse’s plan of care for the client?"
"Exam 2 relevant content","Suicide/safety",2,"Mar 2026; May 2026",0.947368421052632,1,0.0526315789473685,-0.110587102201258,"2026-03-E2-Q48; 2026-05-E2-Q46","A nurse is caring for a client who was previously withdrawn and expressing suicidal thoughts but is now talkative and insists they feel ""better than ever."" Which is an appropriate response by the nurse?"
"Quiz 3","Bipolar/mania",2,"Mar 2026; May 2026",0.947368421052632,1,0.0526315789473684,-0.0112706856416791,"2026-03-Q3-Q14; 2026-05-Q3-Q03","A client with bipolar I disorder on the inpatient unit is monopolizing group therapy, interrupting other clients, and giving unsolicited advice in a loud, rapid voice. Other clients appear uncomfortable. Which nursing intervention is most appropriate?"
"Quiz 3","Suicide/safety",2,"Mar 2026; May 2026",0.828947368421053,0.875,0.0460526315789471,-0.179584129309162,"2026-03-Q3-Q07; 2026-05-Q3-Q09","A nurse is caring for a client hospitalized with severe MDD who expresses suicidal ideation with a plan. Which nursing interventions are appropriate? Select all that apply."
"Quiz 3","Suicide/safety",2,"Mar 2026; May 2026",0.7,0.736842105263158,0.0368421052631581,-0.325998039096792,"2026-03-Q3-Q03; 2026-05-Q3-Q12","A nurse is working on a pediatric mental health unit. Which client should the nurse identify as the highest risk for a suicide?"
"Exam 2 relevant content","Suicide/safety",2,"Jan 2026; Mar 2026",0.969387742857143,0.9774436,0.00805585714285717,-0.252417981243883,"2026-01-E2-Q02; 2026-03-E2-Q02","Client Profile Nurse's Note Vital Signs Name: Peter Sherman Provider: P. Mayo, MD Code Status: Full Code Allergies: None known Age: 44 years Weight: 82.3 kg (181.4 lbs) Client Profile Nurse's Note Vital Signs Date/Time Nurse's Notes History of Present Illness: Client presents to the emergency department with increased anxiety and frequent flashbacks over the past two weeks following the loss of a close friend. Appears disheveled, anxious, and easily startled. Client reports difficulty sleeping, with frequent nightmares that cause him to wake up in a panic. Additionally, the client mentions that these symptoms have led to a strained 03/17/XX relationship with their wife, due to the client’s irritability and isolation. The client states, ""My wife is 1020 supportive, but she would probably be better off if I wasn't around."" Past Medical History: Diagnosed with PTSD 5 years ago. History of depression and anxiety. No history of self-harm or substance abuse. Suicide risk assessment completed. Client states, “I once thought it would be better if I went to bed 03/17/XX and did not wake up, but I would never kill myself. I couldn’t do that to my family, plus I know God 1045 does not want me to do that.” No history of suicide attempts and client states, “I have been down before, but I have always gotten better.” Client Profile Nurse's Note Vital Signs 03/17/XX 1015 Blood pressure 138/90 Heart rate 98 Respiratory rate 20 Temperature 97.8 F (36.6 C) Pulse oximetry 97% on room air Pain 7/10 ""headache"" Review the electronic health record. For each assessment finding, click to specify if the finding is a risk factor or protective factor for suicide. Select the best answer in each row. Assessment Finding Risk Factor Protective Factor States, “I couldn't do that to my family.” Client’s belief in eventual recovery Supportive partner Recent loss of close friend Difficulty sleeping Diagnosis of PTSD Access to healthcare"
"Quiz 3","Depression",2,"Mar 2026; May 2026",1,1,0,,"2026-03-Q3-Q08; 2026-05-Q3-Q08","A client with MDD tells the nurse, ""Nothing is going to get better. There's no point in trying."" Which response best demonstrates a therapeutic nursing intervention?"
"Quiz 3","Suicide/safety",2,"Mar 2026; May 2026",1,1,0,,"2026-03-Q3-Q01; 2026-05-Q3-Q14","A nurse is assessing a client who was recently admitted following a suicide attempt. Which of the following behaviors is the priority for the nurse to report to the adolescent’s treatment team?"
"Exam 2 relevant content","Bipolar/mania",2,"Jan 2026; Mar 2026",1,1,0,,"2026-01-E2-Q29; 2026-03-E2-Q52","A nurse is planning care for a client admitted in a manic state. Which action should the nurse take?"
