"Item Key","Session","Item Number","Content Group","Student N","Local Facility","Local Corrected Item-Rest Correlation","Vendor/PDF Difficulty","Vendor/PDF Point-Biserial","Facility Difference vs PDF","Difficulty Flag","Discrimination Flag","Exact Reuse Count","Automated Review Note","Stem / Scenario","Options / Response Set","Correct Answer"
"2026-01-Q3-Q13","Jan 2026",13,"Depression",14,1,,0.94,0.09,0.06,"Very easy","No variance / unstable",1,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility)","A nurse is caring for a client with pain disorder and depression. The client reports chronic low back pain and states, “none of these doctors have done anything to help.” Which statement made by the client requires immediate attention?","A. “I twisted my back last night, and now the pain is a lot worse.” B. “I’m so sick of this pain. I think I’m going to find a way to end it.” C. “Occasionally I buy pain killers from a guy in my neighborhood.” D. “I’m going to sue you and the doctor; you aren’t doing anything for me.”","B"
"2026-01-Q3-Q14","Jan 2026",14,"Depression",14,1,,0.87,0.25,0.13,"Very easy","No variance / unstable",1,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility)","A nurse is caring for a client with paraplegia following a diving accident. Which finding indicates that the client is developing depression?","A. Flight of ideas B. Difficulty concentrating C. Palpitations D. Paranoia","B"
"2026-01-Q3-Q15","Jan 2026",15,"Depression",14,0.928571428571429,-0.449789281943621,0.94,0.01,-0.0114285714285713,"Very easy","Negative",1,"Negative local item-rest relationship: review key, wording, and distractors; Very easy item","A nurse is evaluating the outcomes for an outpatient client with depression. Which client statement indicates a need for further evaluation?","A. ""I had a great trip to the Smoky Mountains."" B. ""Going back to work has been okay."" C. ""I just don't like going to the movies like I used to."" D. ""I can't wait to have my family together next weekend.""","C"
"2026-03-Q3-Q01","Mar 2026",1,"Suicide/safety",19,1,,0.89,0.29,0.11,"Very easy","No variance / unstable",2,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Exact stem reused 2 times","A nurse is assessing a client who was recently admitted following a suicide attempt. Which of the following behaviors is the priority for the nurse to report to the adolescent’s treatment team?","A. Calling his family B. Spending time alone C. Crying in their room D. Giving away possessions","D"
"2026-03-Q3-Q02","Mar 2026",2,"Suicide/safety",19,0.736842105263158,0.42219946164471,0.78,0.27,-0.043157894736842,"Moderate","Acceptable",2,"Exact stem reused 2 times","A client with a history of three suicide attempts has been taking fluoxetine (Prozac) for 1 month. The client suddenly presents with a bright affect, is much more communicative, and rates mood at 9/10. Which action should be the nurse’s priority at this time?","A. Give the client off-unit privileges as positive reinforcement B. Encourage the client to share mood improvement in group C. Increase frequency of client observation D. Request a medication reevaluation","C"
"2026-03-Q3-Q03","Mar 2026",3,"Suicide/safety",19,0.736842105263158,0.0450092078714099,0.72,0.25,0.0168421052631581,"Moderate","Very low",2,"Very low local item-rest relationship; Exact stem reused 2 times","A nurse is working on a pediatric mental health unit. Which client should the nurse identify as the highest risk for a suicide?","A. A client whose father committed suicide after losing his job B. A client that has a history of illegal drug use C. A client who was hospitalized a year ago for a suicide attempt D. A client who has a history of depression and states, ""there is nothing to live for.""","C"
"2026-03-Q3-Q04","Mar 2026",4,"Suicide/safety",19,0.842105263157895,-0.0142244142243766,0.82,0.24,0.0221052631578948,"Moderate","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Exact stem reused 2 times","A nurse is caring for a client threatening to commit suicide by hanging. The client states, “I’m going to use a knotted shower curtain when no one is around.” Which factor will guide the nurse’s plan of care for the client?","A. The more specific the plan is, the more likely the client will attempt suicide. B. Clients who talk about suicide never actually commit it. C. Clients who threaten suicide should be observed every 15 minutes. D. After a brief assessment, the nurse should avoid the topic of suicide.","A"
"2026-03-Q3-Q05","Mar 2026",5,"Suicide/safety",19,1,,1,,0,"Very easy","No variance / unstable",1,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility)","A 19-year-old college student presents to the campus health center reporting difficulty sleeping and ""feeling overwhelmed."" Which assessment findings would the nurse identify as risk indicators? Select all that apply","A. The client states, ""My roommate moved out and I don't have anyone to talk to anymore."" B. The client reports earning a B+ on a recent exam despite hoping for an A. C. The client says, ""My parents spend so much money on my tuition and I'm just wasting it."" D. The client has a history of repeated cutting on forearms over the past two years. E. The client reports drinking two cups of coffee daily to stay awake for studying. F. The client states, ""I joined an intramural soccer team last week.""","A,C,D"
"2026-03-Q3-Q06","Mar 2026",6,"Depression",19,0.842105263157895,0.667743404181621,0.87,0.35,-0.0278947368421051,"Moderate","Acceptable",2,"Exact stem reused 2 times","A client taking sertraline was prescribed sumatriptan for migraines one week ago by a different provider. The client presents to the clinic reporting muscle twitching, agitation, diarrhea, and feeling ""shaky and hot."" Vital signs: T 38.9C, HR 112, BP 158/94. The nurse suspects serotonin syndrome. Which finding, if present, would most strongly confirm the nurse's suspicion?","A. Lead-pipe rigidity in all extremities B. Bilateral lower extremity clonus and hyperreflexia C. Decreased level of consciousness with a GCS of 8 D. Maculopapular rash across the trunk and extremities","B"
"2026-03-Q3-Q07","Mar 2026",7,"Suicide/safety",19,0.828947368421053,0.0143786057083503,0.45,0.07,0.378947368421053,"Moderate","Very low",2,"Very low local item-rest relationship; Exact stem reused 2 times","A nurse is caring for a client hospitalized with severe MDD who expresses suicidal ideation with a plan. Which nursing interventions are appropriate? Select all that apply.","A. Place the client on one-to-one observation. B. Remove belts, shoelaces, and charging cables from the client's room. C. Ask the client to sign a safety contract promising not to attempt self-harm. D. Conduct a collaborative safety plan identifying the client's personal warning signs and coping strategies. E. Administer PRN medication as ordered if the client exhibits escalating distress. F. Restrict all visitors to minimize emotional triggers.","A,B,D,E"
"2026-03-Q3-Q08","Mar 2026",8,"Depression",19,1,,1,,0,"Very easy","No variance / unstable",2,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Exact stem reused 2 times","A client with MDD tells the nurse, ""Nothing is going to get better. There's no point in trying."" Which response best demonstrates a therapeutic nursing intervention?","A. ""Things will get better once your medication starts working. You just need to give it time."" B. ""Can you tell me more about what feels most hopeless right now?"" C. ""You have so much to live for. Think about your family."" D. ""I understand you feel hopeless. Let me tell you about some clients I've seen who got better.""","B"
"2026-03-Q3-Q09","Mar 2026",9,"Depression",19,1,,1,,0,"Very easy","No variance / unstable",1,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility)","A client with MDD who has been sleeping 3-4 hours per night due to terminal insomnia (early morning awakening) asks the nurse for advice on improving sleep. Which intervention should the nurse recommend first?","A. Try taking an over-the-counter sleep aid like diphenhydramine to help you stay asleep. B. Avoid screens for at least an hour before bed, keep a consistent wake time, and limit caffeine after noon. C. Try to nap during the day to make up for the lost sleep at night. D. Exercise vigorously in the evening to tire yourself out before bedtime.","B"
"2026-03-Q3-Q10","Mar 2026",10,"Depression",19,0.842105263157895,0.211560962517938,0.9,0.21,-0.0578947368421051,"Moderate","Acceptable",2,"Exact stem reused 2 times","A nurse has been working with a client whose mother died six months ago. At the initial assessment, the client met criteria for MDD superimposed on acute grief. After eight weeks of sertraline and therapy, the client reports: ""The depression is better. I have energy again and I'm back at work. But I still cry when I hear my mom's favorite song. I miss her every day."" The client asks, ""Shouldn't the medication have fixed that too?"" Which response reflects the most accurate clinical evaluation?","A. The medication should address grief as well as depression. Since you're still crying at reminders and missing her daily, I'll discuss a dose increase with the provider to target those remaining symptoms. B. Grief that persists beyond six months usually indicates a more serious condition. I'd like to assess whether your grief has become prolonged and whether we need to adjust the treatment approach. C. The medication treated the depression: the flat mood, the lost energy, the withdrawal. The grief, missing her, crying at her song, is not a symptom to fix. It's a normal response to loss that treatment shouldn't eliminate. D. Grief and depression overlap significantly, so if you're still crying regularly and missing her this much, it's likely that the depression hasn't fully resolved and we need to continue optimizing treatment.","C"
"2026-03-Q3-Q11","Mar 2026",11,"Bipolar/mania",19,0.631578947368421,0.311441221781934,0.66,0.2,-0.0284210526315787,"Moderate","Acceptable",2,"Exact stem reused 2 times","A nurse is caring for a client with bipolar disorder who has a new rash all over their back. Which medication(s) should the nurse recognize the most likely cause of the rash? Select all that apply.","A. Lamotrigine B. Carbamazepine C. Aripiprazole D. Lithium E. Olanzapine","A,B"
"2026-03-Q3-Q12","Mar 2026",12,"Bipolar/mania",19,0.789473684210526,0.141272161397954,0.83,0.36,-0.0405263157894736,"Moderate","Low",2,"Low local item-rest relationship; Exact stem reused 2 times","A nurse is caring for a client with bipolar disorder. The client is experiencing acute mania and is found doing calisthenics instead of eating in the dining room during lunchtime. Which is the best response by the nurse?","A. ""You are already too thin, and exercise is not good for you. Go sit down somewhere and eat something."" B. ""Come with me. Here is a milkshake to drink."" C. ""We need you to decide what activities you will do today."" D. ""You will need to leave the dining room right now and go somewhere else to exercise.""","B"
"2026-03-Q3-Q13","Mar 2026",13,"Bipolar/mania",19,0.68421052631579,-0.210400877934371,0.76,0.23,-0.0757894736842103,"Moderate","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Exact stem reused 2 times","A client with bipolar I disorder in acute mania becomes increasingly agitated during a conversation with a visitor. The client's voice is rising, fists are clenched, and the client stands abruptly. Which nursing actions are appropriate? Select all that apply.","A. Calmly ask the visitor to step out and offer to escort the client to a quieter area. B. Stand between the client and the visitor to physically block any aggressive behavior. C. Speak in a slow, low tone and use brief, clear statements. D. Administer PRN medication before attempting any verbal intervention. E. Ensure there is a clear exit path and avoid cornering the client. F. Reduce environmental stimuli by dimming lights and turning off the television.","A,C,E,F"
"2026-03-Q3-Q14","Mar 2026",14,"Bipolar/mania",19,0.947368421052632,-0.0112706856416791,0.97,0.07,-0.0226315789473683,"Very easy","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Very easy item; Exact stem reused 2 times","A client with bipolar I disorder on the inpatient unit is monopolizing group therapy, interrupting other clients, and giving unsolicited advice in a loud, rapid voice. Other clients appear uncomfortable. Which nursing intervention is most appropriate?","A. Allow the client to continue because self-expression is therapeutic and the group can manage the disruption. B. Remove the client from group permanently and restrict all group participation until the mania resolves. C. Redirect the client privately by saying, ""I can see you have a lot to share. Let's step out and talk one-on-one so others can have a turn."" D. Confront the client in front of the group by saying, ""You need to let other people speak. You've been talking for ten minutes.""","C"
"2026-03-Q3-Q15","Mar 2026",15,"Bipolar/mania",19,0.912280636292223,0.195299131010142,0.59,0.31,0.322280636292223,"Very easy","Low",1,"Low local item-rest relationship; Very easy item","A nurse is caring for a client diagnosed with bipolar disorder. Which behavior(s) should the nurse interpret as mania when observing the client? Select all that apply.","A. Dressing in black or grey clothing B. Sleeping for long periods of time C. Exaggerated self-confidence D. Acting in a flirtatious way E. Talking in rapid speech","C,D,E"
"2026-05-Q3-Q01","May 2026",1,"Bipolar/mania",10,1,,0.97,0.16,0.03,"Very easy","No variance / unstable",1,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Rendering/export artifact in stem","A client with Bipolar Disorder is in a state of acute mania. In planning the care, the nurse establishes these goals. Which client goal is of highest priority?  ",,"N/A Hot Spot"
"2026-05-Q3-Q02","May 2026",2,"Suicide/safety",10,1,,0.96,0.12,0.04,"Very easy","No variance / unstable",2,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Exact stem reused 2 times","A nurse in a pediatric unit is working with an adolescent client with a history of depression. Which assessment finding indicates the client may be suicidal?","A. The client gives away a DVD and cherished autographed picture B. The client runs out of a therapy group swearing at the group leader C. The client becomes angry when speaking on the telephone and hangs up abruptly D. The client gets angry with their roommate for borrowing their items without asking","A"
"2026-05-Q3-Q03","May 2026",3,"Bipolar/mania",10,1,,0.97,0.07,0.03,"Very easy","No variance / unstable",2,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Exact stem reused 2 times","A client with bipolar I disorder on the inpatient unit is monopolizing group therapy, interrupting other clients, and giving unsolicited advice in a loud, rapid voice. Other clients appear uncomfortable. Which nursing intervention is most appropriate?","A. Allow the client to continue because self-expression is therapeutic and the group can manage the disruption. B. Remove the client from group permanently and restrict all group participation until the mania resolves. C. Redirect the client privately by saying, ""I can see you have a lot to share. Let's step out and talk one-on-one so others can have a turn."" D. Confront the client in front of the group by saying, ""You need to let other people speak. You've been talking for ten minutes.""","C"
"2026-05-Q3-Q04","May 2026",4,"Bipolar/mania",10,0.9,-0.418569238788198,0.76,0.23,0.14,"Very easy","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Very easy item; Exact stem reused 2 times","A client with bipolar I disorder in acute mania becomes increasingly agitated during a conversation with a visitor. The client's voice is rising, fists are clenched, and the client stands abruptly. Which nursing actions are appropriate? Select all that apply.","A. Calmly ask the visitor to step out and offer to escort the client to a quieter area. B. Stand between the client and the visitor to physically block any aggressive behavior. C. Speak in a slow, low tone and use brief, clear statements. D. Administer PRN medication before attempting any verbal intervention. E. Ensure there is a clear exit path and avoid cornering the client. F. Reduce environmental stimuli by dimming lights and turning off the television.","A,C,E,F"
"2026-05-Q3-Q05","May 2026",5,"Bipolar/mania",10,0.9,-0.549917453188955,0.83,0.36,0.0700000000000001,"Very easy","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Very easy item; Exact stem reused 2 times","A nurse is caring for a client with bipolar disorder. The client is experiencing acute mania and is found doing calisthenics instead of eating in the dining room during lunchtime. Which is the best response by the nurse?","A. ""You are already too thin, and exercise is not good for you. Go sit down somewhere and eat something."" B. ""Come with me. Here is a milkshake to drink."" C. ""We need you to decide what activities you will do today."" D. ""You will need to leave the dining room right now and go somewhere else to exercise.""","B"
"2026-05-Q3-Q06","May 2026",6,"Bipolar/mania",10,0.9,-0.427182890906981,0.66,0.2,0.24,"Very easy","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Very easy item; Exact stem reused 2 times","A nurse is caring for a client with bipolar disorder who has a new rash all over their back. Which medication(s) should the nurse recognize the most likely cause of the rash? Select all that apply.","A. Lamotrigine B. Carbamazepine C. Aripiprazole D. Lithium E. Olanzapine","A,B"
"2026-05-Q3-Q07","May 2026",7,"Depression",10,1,,0.9,0.21,0.1,"Very easy","No variance / unstable",2,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Exact stem reused 2 times","A nurse has been working with a client whose mother died six months ago. At the initial assessment, the client met criteria for MDD superimposed on acute grief. After eight weeks of sertraline and therapy, the client reports: ""The depression is better. I have energy again and I'm back at work. But I still cry when I hear my mom's favorite song. I miss her every day."" The client asks, ""Shouldn't the medication have fixed that too?"" Which response reflects the most accurate clinical evaluation?","A. The medication should address grief as well as depression. Since you're still crying at reminders and missing her daily, I'll discuss a dose increase with the provider to target those remaining symptoms. B. Grief that persists beyond six months usually indicates a more serious condition. I'd like to assess whether your grief has become prolonged and whether we need to adjust the treatment approach. C. The medication treated the depression: the flat mood, the lost energy, the withdrawal. The grief, missing her, crying at her song, is not a symptom to fix. It's a normal response to loss that treatment shouldn't eliminate. D. Grief and depression overlap significantly, so if you're still crying regularly and missing her this much, it's likely that the depression hasn't fully resolved and we need to continue optimizing treatment.","C"
"2026-05-Q3-Q08","May 2026",8,"Depression",10,1,,1,,0,"Very easy","No variance / unstable",2,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Exact stem reused 2 times","A client with MDD tells the nurse, ""Nothing is going to get better. There's no point in trying."" Which response best demonstrates a therapeutic nursing intervention?","A. ""Things will get better once your medication starts working. You just need to give it time."" B. ""Can you tell me more about what feels most hopeless right now?"" C. ""You have so much to live for. Think about your family."" D. ""I understand you feel hopeless. Let me tell you about some clients I've seen who got better.""","B"
"2026-05-Q3-Q09","May 2026",9,"Suicide/safety",10,0.875,-0.373546864326674,0.45,0.07,0.425,"Moderate","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Exact stem reused 2 times","A nurse is caring for a client hospitalized with severe MDD who expresses suicidal ideation with a plan. Which nursing interventions are appropriate? Select all that apply.","A. Place the client on one-to-one observation. B. Remove belts, shoelaces, and charging cables from the client's room. C. Ask the client to sign a safety contract promising not to attempt self-harm. D. Conduct a collaborative safety plan identifying the client's personal warning signs and coping strategies. E. Administer PRN medication as ordered if the client exhibits escalating distress. F. Restrict all visitors to minimize emotional triggers.","A,B,D,E"
"2026-05-Q3-Q10","May 2026",10,"Depression",10,1,,0.87,0.35,0.13,"Very easy","No variance / unstable",2,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Exact stem reused 2 times","A client taking sertraline was prescribed sumatriptan for migraines one week ago by a different provider. The client presents to the clinic reporting muscle twitching, agitation, diarrhea, and feeling ""shaky and hot."" Vital signs: T 38.9C, HR 112, BP 158/94. The nurse suspects serotonin syndrome. Which finding, if present, would most strongly confirm the nurse's suspicion?","A. Lead-pipe rigidity in all extremities B. Bilateral lower extremity clonus and hyperreflexia C. Decreased level of consciousness with a GCS of 8 D. Maculopapular rash across the trunk and extremities","B"
"2026-05-Q3-Q11","May 2026",11,"Suicide/safety",10,0.9,-0.549892102947146,0.82,0.24,0.0800000000000001,"Very easy","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Very easy item; Exact stem reused 2 times","A nurse is caring for a client threatening to commit suicide by hanging. The client states, “I’m going to use a knotted shower curtain when no one is around.” Which factor will guide the nurse’s plan of care for the client?","A. The more specific the plan is, the more likely the client will attempt suicide. B. Clients who talk about suicide never actually commit it. C. Clients who threaten suicide should be observed every 15 minutes. D. After a brief assessment, the nurse should avoid the topic of suicide.","A"
"2026-05-Q3-Q12","May 2026",12,"Suicide/safety",10,0.7,-0.697005286064993,0.72,0.25,-0.02,"Moderate","Negative",2,"Negative local item-rest relationship: review key, wording, and distractors; Exact stem reused 2 times","A nurse is working on a pediatric mental health unit. Which client should the nurse identify as the highest risk for a suicide?","A. A client whose father committed suicide after losing his job B. A client that has a history of illegal drug use C. A client who was hospitalized a year ago for a suicide attempt D. A client who has a history of depression and states, ""there is nothing to live for.""","C"
"2026-05-Q3-Q13","May 2026",13,"Suicide/safety",10,1,,0.78,0.27,0.22,"Very easy","No variance / unstable",2,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Exact stem reused 2 times","A client with a history of three suicide attempts has been taking fluoxetine (Prozac) for 1 month. The client suddenly presents with a bright affect, is much more communicative, and rates mood at 9/10. Which action should be the nurse’s priority at this time?","A. Give the client off-unit privileges as positive reinforcement B. Encourage the client to share mood improvement in group C. Increase frequency of client observation D. Request a medication reevaluation","C"
"2026-05-Q3-Q14","May 2026",14,"Suicide/safety",10,1,,0.89,0.29,0.11,"Very easy","No variance / unstable",2,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility); Exact stem reused 2 times","A nurse is assessing a client who was recently admitted following a suicide attempt. Which of the following behaviors is the priority for the nurse to report to the adolescent’s treatment team?","A. Calling his family B. Spending time alone C. Crying in their room D. Giving away possessions","D"
"2026-05-Q3-Q15","May 2026",15,"Depression",10,1,,0.89,0.23,0.11,"Very easy","No variance / unstable",1,"No score variance; cannot discriminate in this cohort; Ceiling item (>=95% local facility)","A nurse is providing instructions to a client about sertraline, an SSRI. Which statement should the nurse include in the instructions?","A. “This medication may cause sexual dysfunction.” B. “You will notice an improvement in mood within 2 to 3 days.” C. “A fever is an expected adverse effect of this medication.” D. “Sertraline can cause temporary muscle rigidity.”","A"
