"Item Key","Session","Item Number","Content Group","Student N","Local Facility","Local Corrected Item-Rest Correlation","Vendor/PDF Difficulty","Vendor/PDF Point-Biserial","Difficulty Flag","Discrimination Flag","Stem / Scenario","Options / Response Set","Correct Answer"
"2026-01-E2-Q34","Jan 2026",34,"Suicide/safety",14,1,,0.82,0.17,"Very easy","No variance / unstable","The nurse is caring for a client with suicidal ideation. For each nursing action, click to specify whether the action is indicated or contraindicated for this client. Select the best answer in each row. Nursing Action Indicated Contraindicated Promise confidentiality about suicidal thoughts. Place the client in a room close to the nurse's station. Encourage the client to express feelings. Allow the client to keep all their personal items. Perform mouth checks during medication administration.",,"SR [ A - 2, B - 1, C - 1, D - 2, E - 1 ]"
"2026-01-E2-Q35","Jan 2026",35,"Depression",14,0.517857142857143,-0.0935615734800727,0.1,0.09,"Difficult","Negative","The nurse is planning education for a male client prescribed fluoxetine for depression. Which side effect(s) should the nurse instruct the client to report to the health care provider? Select all that apply.","A. Sudden onset of agitation B. Persistent headache C. Sexual dysfunction D. Thoughts of self-harm E. Urinary retention","A,B,C,D"
"2026-01-E2-Q36","Jan 2026",36,"Depression",14,0.214285714285714,-0.0738010341306333,0.36,0.44,"Difficult","Negative","The nurse plans care for a client with persistent depressive disorder (PDD). What outcome should the nurse prioritize in the client’s care plan?","A. Client will identify one supportive person to contact. B. Client will verbalize understanding of the chronic nature of PDD. C. Client will maintain a consistent sleep and wake schedule. D. Client will participate in at least one pleasurable activity per day.","A"
"2026-03-E2-Q02","Mar 2026",2,"Suicide/safety",19,0.9774436,0.0354858489488422,0.87,0.05,"Very easy","Very low","Client Profile Nurse's Note Vital Signs Name: Peter Sherman Provider: P. Mayo, MD Code Status: Full Code Allergies: None known Age: 44 years Weight: 82.3 kg (181.4 lbs) Client Profile Nurse's Note Vital Signs Date/Time Nurse's Notes History of Present Illness: Client presents to the emergency department with increased anxiety and frequent flashbacks over the past two weeks following the loss of a close friend. Appears disheveled, anxious, and easily startled. Client reports difficulty sleeping, with frequent nightmares that cause him to wake up in a panic. Additionally, the client mentions that these symptoms have led to a strained 03/17/XX relationship with their wife, due to the client’s irritability and isolation. The client states, ""My wife is 1020 supportive, but she would probably be better off if I wasn't around."" Past Medical History: Diagnosed with PTSD 5 years ago. History of depression and anxiety. No history of self-harm or substance abuse. Suicide risk assessment completed. Client states, “I once thought it would be better if I went to bed 03/17/XX and did not wake up, but I would never kill myself. I couldn’t do that to my family, plus I know God 1045 does not want me to do that.” No history of suicide attempts and client states, “I have been down before, but I have always gotten better.” Client Profile Nurse's Note Vital Signs 03/17/XX 1015 Blood pressure 138/90 Heart rate 98 Respiratory rate 20 Temperature 97.8 F (36.6 C) Pulse oximetry 97% on room air Pain 7/10 ""headache"" Review the electronic health record. For each assessment finding, click to specify if the finding is a risk factor or protective factor for suicide. Select the best answer in each row. Assessment Finding Risk Factor Protective Factor States, “I couldn't do that to my family.” Client’s belief in eventual recovery Supportive partner Recent loss of close friend Difficulty sleeping Diagnosis of PTSD Access to healthcare",,"SR [ A - 2, B - 2, C - 2, D - 1, E - 1, F - 1, G - 2 ]"
"2026-03-E2-Q03","Mar 2026",3,"Suicide/safety",19,0.789473684210526,-0.0805611648956323,0.68,0.08,"Moderate","Negative","Client Profile Nurse's Note Vital Signs Name: Peter Sherman Provider: P. Mayo, MD Code Status: Full Code Allergies: None known Age: 44 years Weight: 82.3 kg (181.4 lbs) Client Profile Nurse's Note Vital Signs Date/Time Nurse's Notes History of Present Illness: Client presents to the emergency department with increased anxiety and frequent flashbacks over the past two weeks following the loss of a close friend. Appears disheveled, anxious, and easily startled. Client reports difficulty sleeping, with frequent nightmares that cause him to wake up in a panic. Additionally, the client mentions that these symptoms have led to a strained 03/17/XX relationship with their wife, due to the client’s irritability and isolation. The client states, ""My wife is 1020 supportive, but she would probably be better off if I wasn't around."" Past Medical History: Diagnosed with post-traumatic stress disorder (PTSD) 5 years ago. History of depression and anxiety. No history of self-harm or substance abuse. Suicide risk assessment completed. Client states, ""I once thought it might be better if I went to bed 3/17/XX and did not wake up, but I would never kill myself. I couldn’t do that to my family, plus I know God 1045 does not want me to do that.” No history of suicide attempts and client states, “I have been down before, but I have always gotten better.” Client Profile Nurse's Note Vital Signs 03/17/XX 1015 Blood pressure 138/90 Heart rate 98 Respiratory rate 20 Temperature 97.8 F (36.6 C) Pulse oximetry 97% on room air Pain 7/10 ""headache"" Review the electronic health record. What conclusion should the nurse make regarding the client's suicide risk?","A. He is at low risk for suicide. B. He is at severe risk for suicide. C. He is at high risk for suicide. D. He is at no risk for suicide.","A"
"2026-03-E2-Q04","Mar 2026",4,"Adjacent/PTSD",19,0.921052589473684,0.548674203313335,0.71,0.08,"Very easy","Acceptable","Client Profile Nurse's Note Vital Signs Name: Peter Sherman Provider: P. Mayo, MD Code Status: Full Code Allergies: None known Age: 44 years Weight: 82.3 kg (181.4 lbs) Client Profile Nurse's Note Vital Signs Date/Time Nurse's Notes History of Present Illness: Client presents to the emergency department with increased anxiety and frequent flashbacks over the past two weeks following the loss of a close friend. Appears disheveled, anxious, and easily startled. Client reports difficulty sleeping, with frequent nightmares that cause him to wake up in a panic. Additionally, the client mentions that these symptoms have led to a strained 03/17/XX relationship with their wife, due to the client’s irritability and isolation. The client states, ""My wife is 1020 supportive, but she would probably be better off if I wasn't around."" Past Medical History: Diagnosed with PTSD 5 years ago. History of depression and anxiety. No history of self-harm or substance abuse. Suicide risk assessment completed. Client states, ""I once thought it might be better if I went to bed 03/17/XX and did not wake up, but I would never kill myself. I couldn’t do that to my family, plus I know God 1045 does not want me to do that.” No history of suicide attempts and client states, “I have been down before, but I have always gotten better.” Client Profile Nurse's Note Vital Signs 03/17/XX 1015 Blood pressure 138/90 Heart rate 98 Respiratory rate 20 Temperature 97.8 F (36.6 C) Pulse oximetry 97% on room air Pain 7/10 ""headache"" Review the electronic health record. In planning care for this client, click to specify whether each nursing action is appropriate or not appropriate. Select the best answer in each row. Nursing Actions Appropriate Not Appropriate Ask the client to describe their nightmares in detail. Validate the client's feelings and experiences. Knock or alert the client before entering the client's space. Stay with the client during any flashbacks. Encourage participation in a PTSD support group. Promote a dynamic and stimulating environment.",,"SR [ A - 2, B - 1, C - 1, D - 1, E - 1, F - 2 ]"
"2026-03-E2-Q10","Mar 2026",10,"Bipolar/mania",19,0.802631578947368,0.387184123696001,0.42,0.09,"Moderate","Acceptable","A woman brought their spouse to the emergency department with concerns of erratic behavior over the past week. Which manifestation(s) indicate the client is experiencing mania? Select all that apply.","A. The client reports feeling full of energy despite sleeping only 2-3 hours per sleep per night. B. The client engages in numerous projects simultaneously without the ability to complete them. C. The client states, ""I am Batman. I must be allowed to continue fighting crime and injustice.” D. The client speaks excessively and rapidly, interrupting others and making dialogue difficult. E. The client expresses feeling guilty frequently and demonstrates disinterest in daily activities.","A,B,C,D"
"2026-03-E2-Q11","Mar 2026",11,"Depression",19,0.828947368421053,-0.330799157863324,0.54,0.24,"Moderate","Negative","Nurse's Note Client presented for a follow-up appointment today. Appeared disheveled, with poor personal hygiene and noticeable weight loss of approximately 10 pounds over the past month. His affect was flat, and he made limited eye contact throughout the interview. Speech was slow, and psychomotor retardation was observed. Client mentioned experiencing occasional chest pain and shortness of breath, particularly during 02/24/XX physical exertion. He stated, ""I've been having some chest pain when I walk up the stairs. It's been 1615 happening more often lately."" Client reported persistent feelings of hopelessness and worthlessness, stating, ""I just don't see the point in anything anymore. I feel like a burden to everyone around me."" He also expressed difficulty finding pleasure in activities he once enjoyed, saying, ""Nothing makes me happy anymore, not even the things I used to love."" Review the electronic health record. Which manifestation(s) support a diagnosis of major depressive disorder (MDD)? Select all that apply.","A. Chest pain and shortness of breath B. Feelings of worthlessness C. Loss of interest or pleasure in activities D. Weight loss of approximately 10 pounds E. Slowed speech and movement","B,C,D,E"
"2026-03-E2-Q48","Mar 2026",48,"Suicide/safety",19,0.947368421052632,-0.110587102201258,0.98,0.08,"Very easy","Negative","A nurse is caring for a client who was previously withdrawn and expressing suicidal thoughts but is now talkative and insists they feel ""better than ever."" Which is an appropriate response by the nurse?","A. ""I'm glad, but I'd like to understand more about what has helped you feel this way."" B. ""Let's discuss how you can help others in the group now that you're feeling better."" C. ""You seem much better. Maybe you don't need as much supervision now."" D. ""I'm glad to see you're feeling better! Let's start planning for your discharge.""","A"
"2026-03-E2-Q49","Mar 2026",49,"Depression",19,0.894736842105263,0.192093682252395,0.89,0.19,"Moderate","Low","The nurse prepares to discharge a client diagnosed with major depressive disorder (MDD). Which documentation indicates that the treatment plan was effective?","A. Slept 6 hours uninterrupted last night; Played basketball with activity group; Looks forward to daughter's wedding. B. Slept 8 hours after taking benzodiazepine; Hygiene completed with minimal assistance; Has new friend in milieu. C. Denied current suicidal ideations; Stated ""I haven't had an appetite for weeks""; Frequently voices negative views of self. D. Expressed guilt over relationships with family; Appeared disheveled to lunch; Engaging with peers in the milieu at staff recommendation.","A"
"2026-03-E2-Q50","Mar 2026",50,"Depression",19,0.947368421052632,-0.109166306974477,0.89,0.14,"Very easy","Negative","A nurse is teaching a client who is scheduled for electroconvulsive therapy (ECT). Which statement indicates the client requires additional education?","A. ""I should take my morning medications, including my anticonvulsant."" B. ""I can expect to have some temporary confusion after the procedure."" C. ""I should avoid eating or drinking for at least 6-8 hours before the ECT session."" D. ""I will be given a muscle relaxant to keep me comfortable during the procedure.""","A"
"2026-03-E2-Q51","Mar 2026",51,"Depression",19,0.578947368421053,0.239241851832004,0.58,0.17,"Difficult","Acceptable","A client with major depressive disorder (MDD) has been on an inpatient psychiatric unit for two days. The nurse notes that the client is minimally responsive during interactions, frequently isolates in their room, and has a flat affect. What priority action should the nurse take?","A. Spend time sitting with the client in the milieu. B. Encourage the client to participate in a group activity. C. Gently offer encouragement and reminders of progress. D. Remind the client to focus on small daily goals.","A"
"2026-03-E2-Q52","Mar 2026",52,"Bipolar/mania",19,1,,0.99,0.04,"Very easy","No variance / unstable","A nurse is planning care for a client admitted in a manic state. Which action should the nurse take?","A. Encourage the client to participate in group activities. B. Provide a low-stimulation environment. C. Allow the client to make all decisions independently. D. Offer the client caffeinated beverages.","B"
"2026-03-E2-Q53","Mar 2026",53,"Bipolar/mania",19,0.68421052631579,-0.159021488126379,0.82,0.11,"Moderate","Negative","A client presents to the unit in the manic phase of bipolar disorder. What action should the nurse prioritize?","A. Set clear boundaries and limits. B. Encourage the client to sleep. C. Establish a consistent routine. D. Provide education about the disorder.","A"
"2026-03-E2-Q54","Mar 2026",54,"Bipolar/mania",19,0.894736842105263,0.0885438089193566,0.83,0.15,"Moderate","Very low","The nurse assesses a client who is taking lithium for bipolar disorder. What assessment finding should the nurse report to the healthcare provider immediately?","A. Persistent diarrhea B. Mild drowsiness C. Weight gain D. Increased thirst","A"
"2026-03-E2-Q55","Mar 2026",55,"Bipolar/mania",19,0.789473684210526,0.116505159685602,0.91,0.11,"Moderate","Low","A client with bipolar disorder on long-term lithium therapy presents to the clinic with new symptoms of muscle weakness, increased thirst, and frequent urination. The nurse notes the client has recently started a low-sodium diet on the advice of their primary care provider. Which action should the nurse take first?","A. Verify the client's lithium level and assess for other symptoms. B. Recommend a temporary reduction in the lithium dose. C. Advise the client to increase their fluid intake to manage thirst. D. Educate the client on maintaining consistent sodium intake.","A"
"2026-05-E2-Q43","May 2026",43,"Bipolar/mania",11,0.909090909090909,0.325463022674901,0.83,0.14,"Very easy","Acceptable","A client arrives to an inpatient facility escorted by police after being found directing traffic on a busy street and yelling profanities at drivers. The client's spouse is contacted and reports that the client has not eaten or slept in 3 days. What priority action should the nurse take?","A. Provide the client with nutrient-dense finger foods. B. Encourage the client to verbalize their feelings. C. Plan physical activities with regular rest periods. D. Encourage the client to attend group therapy.","A"
"2026-05-E2-Q44","May 2026",44,"Bipolar/mania",11,0.909090909090909,-0.240561828015762,0.91,0.11,"Very easy","Negative","A client with bipolar disorder on long-term lithium therapy presents to the clinic with new symptoms of muscle weakness, increased thirst, and frequent urination. The nurse notes the client has recently started a low-sodium diet on the advice of their primary care provider. Which action should the nurse take first?","A. Verify the client's lithium level and assess for other symptoms. B. Recommend a temporary reduction in the lithium dose. C. Advise the client to increase their fluid intake to manage thirst. D. Educate the client on maintaining consistent sodium intake.","A"
"2026-05-E2-Q45","May 2026",45,"Bipolar/mania",11,0.909090909090909,0.322183828968298,0.67,0.18,"Very easy","Acceptable","A nurse is planning care for a client with bipolar disorder who is exhibiting signs of mania. Which action should the nurse prioritize?","A. Monitor the client's intake and output. B. Set consistent limits on the client's behavior. C. Encourage the client to express their feelings. D. Teach the client relaxation techniques.","B"
"2026-05-E2-Q46","May 2026",46,"Suicide/safety",11,1,,0.98,0.08,"Very easy","No variance / unstable","A nurse is caring for a client who was previously withdrawn and expressing suicidal thoughts but is now talkative and insists they feel ""better than ever."" Which is an appropriate response by the nurse?","A. ""I'm glad, but I'd like to understand more about what has helped you feel this way."" B. ""Let's discuss how you can help others in the group now that you're feeling better."" C. ""You seem much better. Maybe you don't need as much supervision now."" D. ""I'm glad to see you're feeling better! Let's start planning for your discharge.""","A"
"2026-05-E2-Q47","May 2026",47,"Depression",11,1,,0.86,0.27,"Very easy","No variance / unstable","A home health nurse is caring for a client with a history of stroke who is experiencing mood changes. What should the nurse do first?","A. Use a validated depression screening tool to assess the client's mood. B. Document the symptoms and monitor for worsening. C. Encourage the client to attend a support group. D. Reassure the client that mood changes are expected following a stroke.","A"
"2026-05-E2-Q48","May 2026",48,"Depression",11,1,,0.98,-0.04,"Very easy","No variance / unstable","Complete the following sentence by choosing from the list of options. The nurse evaluates the care for a client with a 1 2 depressive disorder. The nurse knows the treatment has been effective when the client verbalizes and . 1. future prospects, past regrets, self-doubt 2. restful sleep, frequent awakenings, racing thoughts",,"future prospects|past regrets|self-doubt~frequent awakenings|racing thoughts|restful sleep"
"2026-05-E2-Q49","May 2026",49,"Suicide/safety",11,1,,0.96,-0.14,"Very easy","No variance / unstable","A nurse is caring for a client whose depression suddenly improves. The client becomes involved in group activities and communicates freely with the staff. Which action should the nurse take at this time?","A. Assess the client for suicidal ideation B. Assign the client to a discharge planning group C. Concentrate on past problems to assist the client to gain emotional insight D. Consult with the provider regarding an alteration in the medication regimen","A"
"2026-05-E2-Q50","May 2026",50,"Depression",11,0.818181818181818,0.205711291952526,0.84,0.1,"Moderate","Acceptable","A nurse is planning care for a group of clients with depressive disorders. Which client should the nurse assess first?","A. A client who reports feeling sad and hopeless. B. A client who has lost interest in activities they once enjoyed. C. A client who states, ""I have a plan to make everything better."" D. A client who has not eaten for the past two days.","C"
"2026-05-E2-Q51","May 2026",51,"Depression",11,0.818181818181818,0.0438719454297676,0.89,0.14,"Moderate","Very low","A nurse is teaching a client who is scheduled for electroconvulsive therapy (ECT). Which statement indicates the client requires additional education?","A. ""I should take my morning medications, including my anticonvulsant."" B. ""I can expect to have some temporary confusion after the procedure."" C. ""I should avoid eating or drinking for at least 6-8 hours before the ECT session."" D. ""I will be given a muscle relaxant to keep me comfortable during the procedure.""","A"
"2026-05-E2-Q52","May 2026",52,"Depression",11,0.636363636363636,0.759085540331981,0.67,0.43,"Moderate","Acceptable","The nurse is preparing to administer a prescribed tricyclic antidepressant to a client with major depressive disorder. For which finding should the nurse hold the drug and contact the health care provider?","A. The client has not urinated in the last 8 hours. B. The client reports increased appetite. C. The client reports dizziness when standing up. D. The client reports drowsiness at night.","A"
"2026-05-E2-Q53","May 2026",53,"Depression",11,1,,0.99,0.13,"Very easy","No variance / unstable","The nurse evaluates care provided for a client with treatment-resistant depression who completed electroconvulsive therapy (ECT). For each assessment finding, click to specify whether the finding indicates that ECT was effective or ineffective. Select the best answer in each row. Assessment Findings Effective Ineffective Client initiates conversation and participates in group therapy. Client sleeps 6 hours per night without pharmacologic support. Client isolates in their room and refuses meals. Client has a flat affect and no interest in activities. Client’s speech is clear, with normal rate and volume.",,"SR [ A - 1, B - 1, C - 2, D - 2, E - 1 ]"
"2026-05-E2-Q54","May 2026",54,"Depression",11,0.818181818181818,0.502108471458271,0.56,0.41,"Moderate","Acceptable","A client with major depressive disorder (MDD) has been on an inpatient psychiatric unit for two days. The nurse notes that the client is minimally responsive during interactions, frequently isolates in their room, and has a flat affect. What priority action should the nurse take?","A. Spend time sitting with the client in their room. B. Encourage the client to participate in a group activity. C. Gently offer encouragement and reminders of progress. D. Remind the client to focus on small daily goals.","A"
"2026-05-E2-Q56","May 2026",56,"Bipolar/mania",11,0.909090909090909,0.173743863026994,0.82,0.11,"Very easy","Low","A client presents to the unit in the manic phase of bipolar disorder. What action should the nurse prioritize?","A. Set clear boundaries and limits. B. Encourage the client to sleep. C. Establish a consistent routine. D. Provide education about the disorder.","A"
